candidate,office,district,party,county,precinct,total votes,votes
Write In,Governor,,REP,Columbia,51 Mist,,0
Over votes,Governor,,REP,Columbia,51 Mist,,0
Under votes,Governor,,REP,Columbia,51 Mist,,2
Write In,State Senate,16,REP,Columbia,51 Mist,,15
Over votes,State Senate,16,REP,Columbia,51 Mist,,0
Under votes,State Senate,16,REP,Columbia,51 Mist,,49
Brian G Stout,State House,31,REP,Columbia,51 Mist,,41
Write In,State House,31,REP,Columbia,51 Mist,,2
Over votes,State House,31,REP,Columbia,51 Mist,,0
Under votes,State House,31,REP,Columbia,51 Mist,,21
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,51 Mist,,57
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,51 Mist,,41
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,51 Mist,,17
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,51 Mist,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,51 Mist,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,51 Mist,,27
,Registered Voters,,,Columbia,53 City of Columbia City,,1541
,Registered Voters,,NonPartisan,Columbia,53 City of Columbia City,,429
,Registered Voters,,DEM,Columbia,53 City of Columbia City,,598
,Registered Voters,,IND,Columbia,53 City of Columbia City,,68
,Registered Voters,,REP,Columbia,53 City of Columbia City,,446
,Ballots Cast,,,Columbia,53 City of Columbia City,,690
,Ballots Cast,,NonPartisan,Columbia,53 City of Columbia City,,89
,Ballots Cast,,DEM,Columbia,53 City of Columbia City,,345
,Ballots Cast,,IND,Columbia,53 City of Columbia City,,18
,Ballots Cast,,REP,Columbia,53 City of Columbia City,,238
,Ballots Cast,,Blank,Columbia,53 City of Columbia City,,1
Ricky Barajas ,U.S. House,1,DEM,Columbia,53 City of Columbia City,,14
Suzanne Bonamici,U.S. House,1,DEM,Columbia,53 City of Columbia City,,289
Michael E Stansfield,U.S. House,1,DEM,Columbia,53 City of Columbia City,,20
Write In,U.S. House,1,DEM,Columbia,53 City of Columbia City,,3
Over votes,U.S. House,1,DEM,Columbia,53 City of Columbia City,,0
Under votes,U.S. House,1,DEM,Columbia,53 City of Columbia City,,19
Ed Jones,Governor,,DEM,Columbia,53 City of Columbia City,,51
Kate Brown,Governor,,DEM,Columbia,53 City of Columbia City,,230
Candace Neville,Governor,,DEM,Columbia,53 City of Columbia City,,36
Write-Ins,Governor,,DEM,Columbia,53 City of Columbia City,,8
Over votes,Governor,,DEM,Columbia,53 City of Columbia City,,0
Under votes,Governor,,DEM,Columbia,53 City of Columbia City,,20
Betsy Johnson,State Senate,16,DEM,Columbia,53 City of Columbia City,,288
Write In,State Senate,16,DEM,Columbia,53 City of Columbia City,,9
Over votes,State Senate,16,DEM,Columbia,53 City of Columbia City,,0
Under votes,State Senate,16,DEM,Columbia,53 City of Columbia City,,48
Brad Witt,State House,31,DEM,Columbia,53 City of Columbia City,,295
Write In,State House,31,DEM,Columbia,53 City of Columbia City,,5
Over votes,State House,31,DEM,Columbia,53 City of Columbia City,,0
Under votes,State House,31,DEM,Columbia,53 City of Columbia City,,45
Write In,U.S. House,1,IND,Columbia,53 City of Columbia City,,7
Over votes,U.S. House,1,IND,Columbia,53 City of Columbia City,,0
Under votes,U.S. House,1,IND,Columbia,53 City of Columbia City,,11
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,53 City of Columbia City,,1
Skye J Allen,Governor,,IND,Columbia,53 City of Columbia City,,1
Patrick Starnes,Governor,,IND,Columbia,53 City of Columbia City,,4
Write In,Governor,,IND,Columbia,53 City of Columbia City,,9
Over votes,Governor,,IND,Columbia,53 City of Columbia City,,0
Under votes,Governor,,IND,Columbia,53 City of Columbia City,,3
Write In,State Senate,16,IND,Columbia,53 City of Columbia City,,7
Over votes,State Senate,16,IND,Columbia,53 City of Columbia City,,0
Under votes,State Senate,16,IND,Columbia,53 City of Columbia City,,11
Write In,State House,31,IND,Columbia,53 City of Columbia City,,8
Over votes,State House,31,IND,Columbia,53 City of Columbia City,,0
Under votes,State House,31,IND,Columbia,53 City of Columbia City,,10
John Verbeek,U.S. House,1,REP,Columbia,53 City of Columbia City,,75
George Griffith,U.S. House,1,REP,Columbia,53 City of Columbia City,,71
Preston L Miller,U.S. House,1,REP,Columbia,53 City of Columbia City,,24
Write In,U.S. House,1,REP,Columbia,53 City of Columbia City,,3
Over votes,U.S. House,1,REP,Columbia,53 City of Columbia City,,0
Under votes,U.S. House,1,REP,Columbia,53 City of Columbia City,,65
Knute Buehler,Governor,,REP,Columbia,53 City of Columbia City,,89
Keenen W Bohach,Governor,,REP,Columbia,53 City of Columbia City,,0
Greg C Wooldridge,Governor,,REP,Columbia,53 City of Columbia City,,35
Jonathan I Edwards III,Governor,,REP,Columbia,53 City of Columbia City,,1
David W Stauffer,Governor,,REP,Columbia,53 City of Columbia City,,2
Jeff Smith,Governor,,REP,Columbia,53 City of Columbia City,,7
Jack W Tacy ,Governor,,REP,Columbia,53 City of Columbia City,,0
Brett Hyland,Governor,,REP,Columbia,53 City of Columbia City,,0
Bruce Cuff,Governor,,REP,Columbia,53 City of Columbia City,,8
Sam Carpenter,Governor,,REP,Columbia,53 City of Columbia City,,79
Write In,Governor,,REP,Columbia,53 City of Columbia City,,4
Over votes,Governor,,REP,Columbia,53 City of Columbia City,,1
Under votes,Governor,,REP,Columbia,53 City of Columbia City,,12
Write In,State Senate,16,REP,Columbia,53 City of Columbia City,,38
Over votes,State Senate,16,REP,Columbia,53 City of Columbia City,,0
Under votes,State Senate,16,REP,Columbia,53 City of Columbia City,,200
Brian G Stout,State House,31,REP,Columbia,53 City of Columbia City,,137
Write In,State House,31,REP,Columbia,53 City of Columbia City,,3
Over votes,State House,31,REP,Columbia,53 City of Columbia City,,0
Under votes,State House,31,REP,Columbia,53 City of Columbia City,,98
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,53 City of Columbia City,,222
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,53 City of Columbia City,,251
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,53 City of Columbia City,,97
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,53 City of Columbia City,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,53 City of Columbia City,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,53 City of Columbia City,,119
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
