candidate,votes,pct,office,precinct,district,party
Raymond Baldwin,2,0.38%,U.S. House,154,5,
Daniel K Souza,4,0.76%,U.S. House,154,5,
Kurt Schrader,330,62.62%,U.S. House,154,5,
Tootie Smith,187,35.48%,U.S. House,154,5,
Marvin Sannes,3,0.57%,U.S. House,154,5,
Write-in,1,0.19%,U.S. House,154,5,
Cast Votes: ,527,93.44%,U.S. House,154,5,
Over Votes: ,0,0.00%,U.S. House,154,5,
Under Votes: ,37,6.56%,U.S. House,154,5,
Dennis Richardson,237,43.01%,Governor,154,,
Chris Henry,3,0.54%,Governor,154,,
Aaron Auer,0,0.00%,Governor,154,,
John  Kitzhaber,303,54.99%,Governor,154,,
Paul Grad,3,0.54%,Governor,154,,
Jason  Levin,3,0.54%,Governor,154,,
Write-in,2,0.36%,Governor,154,,
Cast Votes: ,551,97.70%,Governor,154,,
Over Votes: ,0,0.00%,Governor,154,,
Under Votes: ,13,2.30%,Governor,154,,
Richard  Devlin ,384,96.97%,State Senate,154,19,
Write-in ,12,3.03%,State Senate,154,19,
Cast Votes: ,396,70.21%,State Senate,154,19,
Over Votes: ,0,0.00%,State Senate,154,19,
Under Votes: ,168,29.79%,State Senate,154,19,
Gerritt Rosenthal,210,42.86%,State House,154,37,
Julie Parrish,279,56.94%,State House,154,37,
Write-in,1,0.20%,State House,154,37,
Cast Votes: ,490,86.88%,State House,154,37,
Over Votes: ,0,0.00%,State House,154,37,
Under Votes: ,74,13.12%,State House,154,37,
Mike Montchalin,44,1.99%,U.S. Senate,155,,
Jeff Merkley,1267,57.28%,U.S. Senate,155,,
Christina Jean Lugo,17,0.77%,U.S. Senate,155,,
James E Leuenberger,16,0.72%,U.S. Senate,155,,
Monica Wehby,862,38.97%,U.S. Senate,155,,
Write-in,6,0.27%,U.S. Senate,155,,
Cast Votes: ,2212,95.59%,U.S. Senate,155,,
Over Votes: ,1,0.04%,U.S. Senate,155,,
Under Votes: ,101,4.36%,U.S. Senate,155,,
Raymond Baldwin,21,0.97%,U.S. House,155,5,
Daniel K Souza,30,1.39%,U.S. House,155,5,
Kurt Schrader,1326,61.30%,U.S. House,155,5,
Tootie Smith,757,35.00%,U.S. House,155,5,
Marvin Sannes,27,1.25%,U.S. House,155,5,
Write-in,2,0.09%,U.S. House,155,5,
Cast Votes: ,2163,93.47%,U.S. House,155,5,
Over Votes: ,0,0.00%,U.S. House,155,5,
Under Votes: ,151,6.53%,U.S. House,155,5,
Dennis Richardson,973,43.71%,Governor,155,,
Chris Henry,12,0.54%,Governor,155,,
Aaron Auer,5,0.22%,Governor,155,,
John  Kitzhaber,1197,53.77%,Governor,155,,
Paul Grad,17,0.76%,Governor,155,,
Jason  Levin,13,0.58%,Governor,155,,
Write-in,9,0.40%,Governor,155,,
Cast Votes: ,2226,96.20%,Governor,155,,
Over Votes: ,0,0.00%,Governor,155,,
Under Votes: ,88,3.80%,Governor,155,,
Richard Devlin ,1497,96.39%,State Senate,155,19,
Write-in ,56,3.61%,State Senate,155,19,
Cast Votes: ,1553,67.11%,State Senate,155,19,
Over Votes: ,0,0.00%,State Senate,155,19,
Under Votes: ,761,32.89%,State Senate,155,19,
Ann Lininger ,1414,96.52%,State House,155,38,
Write-in ,51,3.48%,State House,155,38,
Cast Votes: ,1465,63.31%,State House,155,38,
Over Votes: ,0,0.00%,State House,155,38,
Under Votes: ,849,36.69%,State House,155,38,
Mike Montchalin,52,2.23%,U.S. Senate,156,,
Jeff Merkley,1291,55.36%,U.S. Senate,156,,
Christina Jean Lugo,25,1.07%,U.S. Senate,156,,
James E Leuenberger,12,0.51%,U.S. Senate,156,,
Monica Wehby,942,40.39%,U.S. Senate,156,,
Write-in,10,0.43%,U.S. Senate,156,,
Cast Votes: ,2332,96.20%,U.S. Senate,156,,
Over Votes: ,0,0.00%,U.S. Senate,156,,
Under Votes: ,92,3.80%,U.S. Senate,156,,
Raymond Baldwin,18,0.79%,U.S. House,156,5,
Daniel K Souza,31,1.36%,U.S. House,156,5,
Kurt Schrader,1372,60.36%,U.S. House,156,5,
Tootie Smith,820,36.08%,U.S. House,156,5,
Marvin Sannes,28,1.23%,U.S. House,156,5,
Write-in,4,0.18%,U.S. House,156,5,
Cast Votes: ,2273,93.77%,U.S. House,156,5,
Over Votes: ,0,0.00%,U.S. House,156,5,
Under Votes: ,151,6.23%,U.S. House,156,5,
Dennis Richardson,1043,44.80%,Governor,156,,
Chris Henry,12,0.52%,Governor,156,,
Aaron Auer,5,0.21%,Governor,156,,
John  Kitzhaber,1196,51.37%,Governor,156,,
Paul Grad,30,1.29%,Governor,156,,
Jason  Levin,21,0.90%,Governor,156,,
Write-in,21,0.90%,Governor,156,,
Cast Votes: ,2328,96.04%,Governor,156,,
Over Votes: ,0,0.00%,Governor,156,,
Under Votes: ,96,3.96%,Governor,156,,
Richard Devlin ,1496,95.29%,State Senate,156,19,
Write-in ,74,4.71%,State Senate,156,19,
Cast Votes: ,1570,64.77%,State Senate,156,19,
Over Votes: ,0,0.00%,State Senate,156,19,
Under Votes: ,854,35.23%,State Senate,156,19,
Ann Lininger ,1387,95.52%,State House,156,38,
Write-in ,65,4.48%,State House,156,38,
Cast Votes: ,1452,59.90%,State House,156,38,
Over Votes: ,1,0.04%,State House,156,38,
Under Votes: ,971,40.06%,State House,156,38,
Mike Montchalin,45,2.49%,U.S. Senate,157,,
Jeff Merkley,1031,57.12%,U.S. Senate,157,,
Christina Jean Lugo,14,0.78%,U.S. Senate,157,,
James E Leuenberger,3,0.17%,U.S. Senate,157,,
Monica Wehby,699,38.73%,U.S. Senate,157,,
Write-in,13,0.72%,U.S. Senate,157,,
Cast Votes: ,1805,97.25%,U.S. Senate,157,,
Over Votes: ,0,0.00%,U.S. Senate,157,,
Under Votes: ,51,2.75%,U.S. Senate,157,,
Raymond Baldwin,11,0.62%,U.S. House,157,5,
Daniel K Souza,21,1.19%,U.S. House,157,5,
Kurt Schrader,1090,61.83%,U.S. House,157,5,
Tootie Smith,622,35.28%,U.S. House,157,5,
Marvin Sannes,13,0.74%,U.S. House,157,5,
Write-in,6,0.34%,U.S. House,157,5,
Cast Votes: ,1763,94.99%,U.S. House,157,5,
Over Votes: ,0,0.00%,U.S. House,157,5,
Under Votes: ,93,5.01%,U.S. House,157,5,
Dennis Richardson,790,44.28%,Governor,157,,
Chris Henry,7,0.39%,Governor,157,,
Aaron Auer,1,0.06%,Governor,157,,
John  Kitzhaber,936,52.47%,Governor,157,,
Paul Grad,13,0.73%,Governor,157,,
Jason  Levin,20,1.12%,Governor,157,,
Write-in,17,0.95%,Governor,157,,
Cast Votes: ,1784,96.12%,Governor,157,,
Over Votes: ,1,0.05%,Governor,157,,
Under Votes: ,71,3.83%,Governor,157,,
Richard Devlin ,1205,96.02%,State Senate,157,19,
Write-in ,50,3.98%,State Senate,157,19,
Cast Votes: ,1255,67.62%,State Senate,157,19,
Over Votes: ,0,0.00%,State Senate,157,19,
Under Votes: ,601,32.38%,State Senate,157,19,
Ann Lininger ,1145,95.82%,State House,157,38,
Write-in ,50,4.18%,State House,157,38,
Cast Votes: ,1195,64.39%,State House,157,38,
Over Votes: ,0,0.00%,State House,157,38,
Under Votes: ,661,35.61%,State House,157,38,
Mike Montchalin,34,2.56%,U.S. Senate,158,,
Jeff Merkley,738,55.57%,U.S. Senate,158,,
Christina Jean Lugo,20,1.51%,U.S. Senate,158,,
James E Leuenberger,7,0.53%,U.S. Senate,158,,
Monica Wehby,519,39.08%,U.S. Senate,158,,
Write-in,10,0.75%,U.S. Senate,158,,
Cast Votes: ,1328,96.51%,U.S. Senate,158,,
Over Votes: ,0,0.00%,U.S. Senate,158,,
Under Votes: ,48,3.49%,U.S. Senate,158,,
Raymond Baldwin,14,1.09%,U.S. House,158,5,
Daniel K Souza,21,1.64%,U.S. House,158,5,
Kurt Schrader,768,59.86%,U.S. House,158,5,
Tootie Smith,458,35.70%,U.S. House,158,5,
Marvin Sannes,20,1.56%,U.S. House,158,5,
Write-in,2,0.16%,U.S. House,158,5,
Cast Votes: ,1283,93.24%,U.S. House,158,5,
Over Votes: ,0,0.00%,U.S. House,158,5,
Under Votes: ,93,6.76%,U.S. House,158,5,
Dennis Richardson,590,44.43%,Governor,158,,
Chris Henry,7,0.53%,Governor,158,,
Aaron Auer,3,0.23%,Governor,158,,
John  Kitzhaber,689,51.88%,Governor,158,,
Paul Grad,14,1.05%,Governor,158,,
Jason  Levin,16,1.20%,Governor,158,,
Write-in,9,0.68%,Governor,158,,
Cast Votes: ,1328,96.51%,Governor,158,,
Over Votes: ,0,0.00%,Governor,158,,
Under Votes: ,48,3.49%,Governor,158,,
Richard  Devlin ,891,96.53%,State Senate,158,19,
Write-in ,32,3.47%,State Senate,158,19,
Cast Votes: ,923,67.08%,State Senate,158,19,
Over Votes: ,0,0.00%,State Senate,158,19,
Under Votes: ,453,32.92%,State Senate,158,19,
Ann Lininger ,829,95.51%,State House,158,38,
Write-in ,39,4.49%,State House,158,38,
Cast Votes: ,868,63.08%,State House,158,38,
Over Votes: ,0,0.00%,State House,158,38,
Under Votes: ,508,36.92%,State House,158,38,
Mike Montchalin,50,1.93%,U.S. Senate,159,,
Jeff Merkley,1610,62.23%,U.S. Senate,159,,
Christina Jean Lugo,31,1.20%,U.S. Senate,159,,
James E Leuenberger,25,0.97%,U.S. Senate,159,,
Monica Wehby,863,33.36%,U.S. Senate,159,,
Write-in,8,0.31%,U.S. Senate,159,,
Cast Votes: ,2587,96.17%,U.S. Senate,159,,
Over Votes: ,0,0.00%,U.S. Senate,159,,
Under Votes: ,103,3.83%,U.S. Senate,159,,
Raymond Baldwin,25,0.99%,U.S. House,159,5,
Daniel K Souza,38,1.51%,U.S. House,159,5,
Kurt Schrader,1661,66.04%,U.S. House,159,5,
Tootie Smith,746,29.66%,U.S. House,159,5,
Marvin Sannes,39,1.55%,U.S. House,159,5,
Write-in,6,0.24%,U.S. House,159,5,
Cast Votes: ,2515,93.49%,U.S. House,159,5,
Over Votes: ,2,0.07%,U.S. House,159,5,
Under Votes: ,173,6.43%,U.S. House,159,5,
Dennis Richardson,970,37.98%,Governor,159,,
Chris Henry,20,0.78%,Governor,159,,
Aaron Auer,7,0.27%,Governor,159,,
John  Kitzhaber,1489,58.30%,Governor,159,,
Paul Grad,16,0.63%,Governor,159,,
Jason  Levin,36,1.41%,Governor,159,,
Write-in,16,0.63%,Governor,159,,
Cast Votes: ,2554,94.94%,Governor,159,,
Over Votes: ,0,0.00%,Governor,159,,
Under Votes: ,136,5.06%,Governor,159,,
Richard Devlin ,1774,96.78%,State Senate,159,19,
Write-in ,59,3.22%,State Senate,159,19,
Cast Votes: ,1833,68.14%,State Senate,159,19,
Over Votes: ,0,0.00%,State Senate,159,19,
Under Votes: ,857,31.86%,State Senate,159,19,
Ann Lininger ,1693,96.85%,State House,159,38,
Write-in ,55,3.15%,State House,159,38,
Cast Votes: ,1748,64.98%,State House,159,38,
Over Votes: ,0,0.00%,State House,159,38,
Under Votes: ,942,35.02%,State House,159,38,
Mike Montchalin,10,3.45%,U.S. Senate,160,,
Jeff Merkley,143,49.31%,U.S. Senate,160,,
Christina Jean Lugo,0,0.00%,U.S. Senate,160,,
James E Leuenberger,2,0.69%,U.S. Senate,160,,
Monica Wehby,134,46.21%,U.S. Senate,160,,
Write-in,1,0.34%,U.S. Senate,160,,
Cast Votes: ,290,95.71%,U.S. Senate,160,,
Over Votes: ,0,0.00%,U.S. Senate,160,,
Under Votes: ,13,4.29%,U.S. Senate,160,,
Raymond Baldwin,2,0.69%,U.S. House,160,5,
Daniel K Souza,6,2.07%,U.S. House,160,5,
Kurt Schrader,157,54.14%,U.S. House,160,5,
Tootie Smith,121,41.72%,U.S. House,160,5,
Marvin Sannes,3,1.03%,U.S. House,160,5,
Write-in,1,0.34%,U.S. House,160,5,
Cast Votes: ,290,95.71%,U.S. House,160,5,
Over Votes: ,0,0.00%,U.S. House,160,5,
Under Votes: ,13,4.29%,U.S. House,160,5,
Dennis Richardson,142,48.63%,Governor,160,,
Chris Henry,2,0.68%,Governor,160,,
Aaron Auer,1,0.34%,Governor,160,,
John  Kitzhaber,137,46.92%,Governor,160,,
Paul Grad,6,2.05%,Governor,160,,
Jason  Levin,3,1.03%,Governor,160,,
Write-in,1,0.34%,Governor,160,,
Cast Votes: ,292,96.37%,Governor,160,,
Over Votes: ,0,0.00%,Governor,160,,
Under Votes: ,11,3.63%,Governor,160,,
Richard  Devlin ,200,93.46%,State Senate,160,19,
Write-in ,14,6.54%,State Senate,160,19,
Cast Votes: ,214,70.63%,State Senate,160,19,
Over Votes: ,0,0.00%,State Senate,160,19,
Under Votes: ,89,29.37%,State Senate,160,19,
Gerritt Rosenthal,110,40.00%,State House,160,37,
Julie Parrish,163,59.27%,State House,160,37,
Write-in,2,0.73%,State House,160,37,
Cast Votes: ,275,90.76%,State House,160,37,
Over Votes: ,0,0.00%,State House,160,37,
Under Votes: ,28,9.24%,State House,160,37,
Mike Montchalin,68,2.79%,U.S. Senate,201,,
Jeff Merkley,1232,50.51%,U.S. Senate,201,,
Christina Jean Lugo,40,1.64%,U.S. Senate,201,,
James E Leuenberger,23,0.94%,U.S. Senate,201,,
Monica Wehby,1064,43.62%,U.S. Senate,201,,
Write-in,12,0.49%,U.S. Senate,201,,
Cast Votes: ,2439,96.25%,U.S. Senate,201,,
Over Votes: ,0,0.00%,U.S. Senate,201,,
Under Votes: ,95,3.75%,U.S. Senate,201,,
Raymond Baldwin,48,2.01%,U.S. House,201,5,
Daniel K Souza,55,2.31%,U.S. House,201,5,
Kurt Schrader,1260,52.87%,U.S. House,201,5,
Tootie Smith,963,40.41%,U.S. House,201,5,
Marvin Sannes,50,2.10%,U.S. House,201,5,
Write-in,7,0.29%,U.S. House,201,5,
Cast Votes: ,2383,94.04%,U.S. House,201,5,
Over Votes: ,0,0.00%,U.S. House,201,5,
Under Votes: ,151,5.96%,U.S. House,201,5,
Dennis Richardson,1223,50.14%,Governor,201,,
Chris Henry,16,0.66%,Governor,201,,
Aaron Auer,11,0.45%,Governor,201,,
John  Kitzhaber,1108,45.43%,Governor,201,,
Paul Grad,28,1.15%,Governor,201,,
Jason  Levin,39,1.60%,Governor,201,,
Write-in,14,0.57%,Governor,201,,
Cast Votes: ,2439,96.25%,Governor,201,,
Over Votes: ,0,0.00%,Governor,201,,
Under Votes: ,95,3.75%,Governor,201,,
Kim Thatcher,1265,54.39%,State Senate,201,13,
Ryan Howard,1054,45.31%,State Senate,201,13,
Write-in,7,0.30%,State Senate,201,13,
Cast Votes: ,2326,91.79%,State Senate,201,13,
Over Votes: ,0,0.00%,State Senate,201,13,
Under Votes: ,208,8.21%,State Senate,201,13,
John Davis,1271,58.12%,State House,201,26,
Chuck  Huntting,87,3.98%,State House,201,26,
Eric D Squires,826,37.77%,State House,201,26,
Write-in,3,0.14%,State House,201,26,
Cast Votes: ,2187,86.31%,State House,201,26,
Over Votes:,0,0.00%,State House,201,26,
Under Votes: ,347,13.69%,State House,201,26,
Mike Montchalin,104,3.40%,U.S. Senate,202,,
Jeff Merkley,1472,48.12%,U.S. Senate,202,,
Christina Jean Lugo,57,1.86%,U.S. Senate,202,,
James E Leuenberger,42,1.37%,U.S. Senate,202,,
Monica Wehby,1361,44.49%,U.S. Senate,202,,
Write-in,23,0.75%,U.S. Senate,202,,
Cast Votes: ,3059,95.00%,U.S. Senate,202,,
Over Votes: ,1,0.03%,U.S. Senate,202,,
Under Votes: ,160,4.97%,U.S. Senate,202,,
Raymond Baldwin,64,2.12%,U.S. House,202,5,
Daniel K Souza,81,2.68%,U.S. House,202,5,
Kurt Schrader,1531,50.66%,U.S. House,202,5,
Tootie Smith,1262,41.76%,U.S. House,202,5,
Marvin Sannes,70,2.32%,U.S. House,202,5,
Write-in,14,0.46%,U.S. House,202,5,
Cast Votes: ,3022,93.85%,U.S. House,202,5,
Over Votes: ,1,0.03%,U.S. House,202,5,
Under Votes: ,197,6.12%,U.S. House,202,5,
Dennis Richardson,1549,50.18%,Governor,202,,
Chris Henry,28,0.91%,Governor,202,,
Aaron Auer,26,0.84%,Governor,202,,
John  Kitzhaber,1356,43.93%,Governor,202,,
Paul Grad,52,1.68%,Governor,202,,
Jason  Levin,56,1.81%,Governor,202,,
Write-in,20,0.65%,Governor,202,,
Cast Votes: ,3087,95.87%,Governor,202,,
Over Votes: ,1,0.03%,Governor,202,,
Under Votes: ,132,4.10%,Governor,202,,
Kim Thatcher,1595,54.51%,State Senate,202,13,
Ryan Howard,1311,44.81%,State Senate,202,13,
Write-in,20,0.68%,State Senate,202,13,
Cast Votes: ,2926,90.87%,State Senate,202,13,
Over Votes: ,1,0.03%,State Senate,202,13,
Under Votes: ,293,9.10%,State Senate,202,13,
John Davis,1570,56.52%,State House,202,26,
Chuck  Huntting,129,4.64%,State House,202,26,
Eric D Squires,1064,38.30%,State House,202,26,
Write-in,15,0.54%,State House,202,26,
Cast Votes: ,2778,86.27%,State House,202,26,
Over Votes:,0,0.00%,State House,202,26,
Under Votes:,442,13.73%,State House,202,26,
Mike Montchalin,35,2.06%,U.S. Senate,203,,
Jeff Merkley,791,46.67%,U.S. Senate,203,,
Christina Jean Lugo,13,0.77%,U.S. Senate,203,,
James E Leuenberger,13,0.77%,U.S. Senate,203,,
Monica Wehby,835,49.26%,U.S. Senate,203,,
Write-in,8,0.47%,U.S. Senate,203,,
Cast Votes: ,1695,95.76%,U.S. Senate,203,,
Over Votes: ,1,0.06%,U.S. Senate,203,,
Under Votes: ,74,4.18%,U.S. Senate,203,,
Raymond Baldwin,13,0.77%,U.S. House,203,5,
Daniel K Souza,14,0.83%,U.S. House,203,5,
Kurt Schrader,897,53.27%,U.S. House,203,5,
Tootie Smith,731,43.41%,U.S. House,203,5,
Marvin Sannes,29,1.72%,U.S. House,203,5,
Write-in,0,0.00%,U.S. House,203,5,
Cast Votes: ,1684,95.14%,U.S. House,203,5,
Over Votes: ,0,0.00%,U.S. House,203,5,
Under Votes: ,86,4.86%,U.S. House,203,5,
Dennis Richardson,956,56.17%,Governor,203,,
Chris Henry,13,0.76%,Governor,203,,
Aaron Auer,5,0.29%,Governor,203,,
John  Kitzhaber,702,41.25%,Governor,203,,
Paul Grad,17,1.00%,Governor,203,,
Jason  Levin,5,0.29%,Governor,203,,
Write-in,4,0.24%,Governor,203,,
Cast Votes: ,1702,96.16%,Governor,203,,
Over Votes: ,0,0.00%,Governor,203,,
Under Votes: ,68,3.84%,Governor,203,,
Alan R Olsen,978,59.56%,State Senate,203,20,
Jamie Damon,664,40.44%,State Senate,203,20,
Write-in,0,0.00%,State Senate,203,20,
Cast Votes: ,1642,92.77%,State Senate,203,20,
Over Votes: ,0,0.00%,State Senate,203,20,
Under Votes: ,128,7.23%,State Senate,203,20,
Bill Kennemer,1248,98.73%,State House,203,39,
Write-in ,16,1.27%,State House,203,39,
Cast Votes:,1264,71.41%,State House,203,39,
Over Votes:,0,0.00%,State House,203,39,
Under Votes:,506,28.59%,State House,203,39,
Mike Montchalin,0,0.00%,U.S. Senate,251,,
Jeff Merkley,0,0.00%,U.S. Senate,251,,
Christina Jean Lugo,0,0.00%,U.S. Senate,251,,
James E Leuenberger,0,0.00%,U.S. Senate,251,,
Monica Wehby,1,100.00%,U.S. Senate,251,,
Write-in,0,0.00%,U.S. Senate,251,,
Cast Votes: ,1,100.00%,U.S. Senate,251,,
Over Votes: ,0,0.00%,U.S. Senate,251,,
Under Votes: ,0,0.00%,U.S. Senate,251,,
Raymond Baldwin,0,0.00%,U.S. House,251,5,
Daniel K Souza,0,0.00%,U.S. House,251,5,
Kurt Schrader,0,0.00%,U.S. House,251,5,
Tootie Smith,1,100.00%,U.S. House,251,5,
Marvin Sannes,0,0.00%,U.S. House,251,5,
Write-in,0,0.00%,U.S. House,251,5,
Cast Votes: ,1,100.00%,U.S. House,251,5,
Over Votes: ,0,0.00%,U.S. House,251,5,
Under Votes: ,0,0.00%,U.S. House,251,5,
Dennis Richardson,1,100.00%,Governor,251,,
Chris Henry,0,0.00%,Governor,251,,
Aaron Auer,0,0.00%,Governor,251,,
John  Kitzhaber,0,0.00%,Governor,251,,
Paul Grad,0,0.00%,Governor,251,,
Jason  Levin,0,0.00%,Governor,251,,
Write-in,0,0.00%,Governor,251,,
Cast Votes: ,1,100.00%,Governor,251,,
Over Votes: ,0,0.00%,Governor,251,,
Under Votes: ,0,0.00%,Governor,251,,
Richard  Devlin ,0,0.00%,State Senate,251,19,
Write-in ,0,0.00%,State Senate,251,19,
Cast Votes: ,0,0.00%,State Senate,251,19,
Over Votes: ,0,0.00%,State Senate,251,19,
Under Votes: ,1,100.00%,State Senate,251,19,
Ann Lininger ,0,0.00%,State House,251,38,
Write-in ,0,0.00%,State House,251,38,
Cast Votes: ,0,0.00%,State House,251,38,
Over Votes: ,0,0.00%,State House,251,38,
Under Votes: ,1,100.00%,State House,251,38,
Mike Montchalin,29,2.24%,U.S. Senate,252,,
Jeff Merkley,637,49.23%,U.S. Senate,252,,
Christina Jean Lugo,10,0.77%,U.S. Senate,252,,
James E Leuenberger,13,1.00%,U.S. Senate,252,,
Monica Wehby,598,46.21%,U.S. Senate,252,,
Write-in,7,0.54%,U.S. Senate,252,,
Cast Votes: ,1294,95.15%,U.S. Senate,252,,
Over Votes: ,0,0.00%,U.S. Senate,252,,
Under Votes: ,66,4.85%,U.S. Senate,252,,
Raymond Baldwin,20,1.56%,U.S. House,252,5,
Daniel K Souza,22,1.72%,U.S. House,252,5,
Kurt Schrader,668,52.11%,U.S. House,252,5,
Tootie Smith,556,43.37%,U.S. House,252,5,
Marvin Sannes,14,1.09%,U.S. House,252,5,
Write-in,2,0.16%,U.S. House,252,5,
Cast Votes: ,1282,94.26%,U.S. House,252,5,
Over Votes: ,0,0.00%,U.S. House,252,5,
Under Votes: ,78,5.74%,U.S. House,252,5,
Dennis Richardson,696,53.50%,Governor,252,,
Chris Henry,5,0.38%,Governor,252,,
Aaron Auer,6,0.46%,Governor,252,,
John  Kitzhaber,558,42.89%,Governor,252,,
Paul Grad,18,1.38%,Governor,252,,
Jason  Levin,14,1.08%,Governor,252,,
Write-in,4,0.31%,Governor,252,,
Cast Votes: ,1301,95.66%,Governor,252,,
Over Votes: ,1,0.07%,Governor,252,,
Under Votes: ,58,4.26%,Governor,252,,
Richard  Devlin ,867,95.70%,State Senate,252,19,
Write-in ,39,4.30%,State Senate,252,19,
Cast Votes: ,906,66.62%,State Senate,252,19,
Over Votes: ,0,0.00%,State Senate,252,19,
Under Votes: ,454,33.38%,State Senate,252,19,
Gerritt Rosenthal,472,38.06%,State House,252,37,
Julie Parrish,767,61.85%,State House,252,37,
Write-in,1,0.08%,State House,252,37,
Cast Votes: ,1240,91.18%,State House,252,37,
Over Votes: ,0,0.00%,State House,252,37,
Under Votes: ,120,8.82%,State House,252,37,
Mike Montchalin,43,4.52%,U.S. Senate,280,,
Jeff Merkley,560,58.89%,U.S. Senate,280,,
Christina Jean Lugo,18,1.89%,U.S. Senate,280,,
James E Leuenberger,6,0.63%,U.S. Senate,280,,
Monica Wehby,315,33.12%,U.S. Senate,280,,
Write-in,9,0.95%,U.S. Senate,280,,
Cast Votes: ,951,96.16%,U.S. Senate,280,,
Over Votes: ,0,0.00%,U.S. Senate,280,,
Under Votes: ,38,3.84%,U.S. Senate,280,,
Raymond Baldwin,14,1.49%,U.S. House,280,5,
Daniel K Souza,29,3.09%,U.S. House,280,5,
Kurt Schrader,576,61.28%,U.S. House,280,5,
Tootie Smith,292,31.06%,U.S. House,280,5,
Marvin Sannes,25,2.66%,U.S. House,280,5,
Write-in,4,0.43%,U.S. House,280,5,
Cast Votes: ,940,95.05%,U.S. House,280,5,
Over Votes: ,0,0.00%,U.S. House,280,5,
Under Votes: ,49,4.95%,U.S. House,280,5,
Dennis Richardson,380,40.04%,Governor,280,,
Chris Henry,7,0.74%,Governor,280,,
Aaron Auer,7,0.74%,Governor,280,,
John  Kitzhaber,505,53.21%,Governor,280,,
Paul Grad,20,2.11%,Governor,280,,
Jason  Levin,21,2.21%,Governor,280,,
Write-in,9,0.95%,Governor,280,,
Cast Votes: ,949,95.96%,Governor,280,,
Over Votes: ,0,0.00%,Governor,280,,
Under Votes: ,40,4.04%,Governor,280,,
Richard  Devlin ,659,95.09%,State Senate,280,19,
Write-in ,34,4.91%,State Senate,280,19,
Cast Votes: ,693,70.07%,State Senate,280,19,
Over Votes: ,0,0.00%,State Senate,280,19,
Under Votes: ,296,29.93%,State Senate,280,19,
Ann Lininger ,633,96.20%,State House,280,38,
Write-in ,25,3.80%,State House,280,38,
Cast Votes: ,658,66.53%,State House,280,38,
Over Votes: ,0,0.00%,State House,280,38,
Under Votes: ,331,33.47%,State House,280,38,
Mike Montchalin,29,2.72%,U.S. Senate,281,,
Jeff Merkley,659,61.70%,U.S. Senate,281,,
Christina Jean Lugo,13,1.22%,U.S. Senate,281,,
James E Leuenberger,10,0.94%,U.S. Senate,281,,
Monica Wehby,352,32.96%,U.S. Senate,281,,
Write-in,5,0.47%,U.S. Senate,281,,
Cast Votes: ,1068,95.78%,U.S. Senate,281,,
Over Votes: ,0,0.00%,U.S. Senate,281,,
Under Votes: ,47,4.22%,U.S. Senate,281,,
Raymond Baldwin,14,1.34%,U.S. House,281,5,
Daniel K Souza,11,1.05%,U.S. House,281,5,
Kurt Schrader,678,64.94%,U.S. House,281,5,
Tootie Smith,320,30.65%,U.S. House,281,5,
Marvin Sannes,19,1.82%,U.S. House,281,5,
Write-in,2,0.19%,U.S. House,281,5,
Cast Votes: ,1044,93.63%,U.S. House,281,5,
Over Votes: ,0,0.00%,U.S. House,281,5,
Under Votes: ,71,6.37%,U.S. House,281,5,
Dennis Richardson,420,39.29%,Governor,281,,
Chris Henry,11,1.03%,Governor,281,,
Aaron Auer,6,0.56%,Governor,281,,
John  Kitzhaber,603,56.41%,Governor,281,,
Paul Grad,9,0.84%,Governor,281,,
Jason  Levin,11,1.03%,Governor,281,,
Write-in,9,0.84%,Governor,281,,
Cast Votes: ,1069,95.87%,Governor,281,,
Over Votes: ,0,0.00%,Governor,281,,
Under Votes: ,46,4.13%,Governor,281,,
Richard  Devlin ,766,95.87%,State Senate,281,19,
Write-in ,33,4.13%,State Senate,281,19,
Cast Votes: ,799,71.66%,State Senate,281,19,
Over Votes: ,0,0.00%,State Senate,281,19,
Under Votes: ,316,28.34%,State Senate,281,19,
Gerritt Rosenthal,537,54.13%,State House,281,37,
Julie Parrish,451,45.46%,State House,281,37,
Write-in,4,0.40%,State House,281,37,
Cast Votes: ,992,88.97%,State House,281,37,
Over Votes: ,0,0.00%,State House,281,37,
Under Votes: ,123,11.03%,State House,281,37,
Mike Montchalin,9,2.77%,U.S. Senate,282,,
Jeff Merkley,187,57.54%,U.S. Senate,282,,
Christina Jean Lugo,2,0.62%,U.S. Senate,282,,
James E Leuenberger,6,1.85%,U.S. Senate,282,,
Monica Wehby,120,36.92%,U.S. Senate,282,,
Write-in,1,0.31%,U.S. Senate,282,,
Cast Votes: ,325,95.87%,U.S. Senate,282,,
Over Votes: ,0,0.00%,U.S. Senate,282,,
Under Votes: ,14,4.13%,U.S. Senate,282,,
Raymond Baldwin,12,3.77%,U.S. House,282,5,
